"","date","year","sex","education","vocabulary"
"109",20141735,2014,"Male",20,9
"110",19981176,1998,"Male",14,5
"111",20161600,2016,"Male",13,7
"112",20061677,2006,"Male",11,6
"113",19891154,1989,"Male",12,6
"114",19930310,1993,"Male",13,7
"115",19820130,1982,"Male",16,6
"116",19740404,1974,"Male",16,6
"117",20060027,2006,"Female",5,5
"118",19780244,1978,"Female",16,6
"119",19931024,1993,"Female",12,4
"120",20001010,2000,"Female",11,6
"121",20162312,2016,"Male",16,8
"122",19941792,1994,"Female",10,4
"123",19941261,1994,"Male",12,6
"124",19820931,1982,"Male",14,3
"125",20063828,2006,"Female",12,0
"126",19931375,1993,"Female",13,7
"127",19942531,1994,"Male",13,3
"128",19840202,1984,"Female",14,9
"129",19840886,1984,"Female",12,5
"130",19980944,1998,"Male",14,9
"131",19962582,1996,"Female",12,8
"132",19761184,1976,"Female",6,3
"133",19741102,1974,"Male",16,10
"134",20001153,2000,"Male",14,8
"135",20141897,2014,"Female",16,7
"136",19981090,1998,"Male",9,6
"137",19961927,1996,"Male",15,2
"138",19960290,1996,"Male",14,4
"139",20161978,2016,"Female",17,6
"140",19942354,1994,"Male",12,5
"141",20040855,2004,"Female",16,7
"142",19981309,1998,"Male",14,9
"143",19841202,1984,"Female",13,8
"144",19870341,1987,"Female",16,6
"145",20061341,2006,"Female",16,9
"146",19931301,1993,"Male",12,4
"147",19820980,1982,"Male",16,8
"148",20062971,2006,"Female",12,8
"149",19780296,1978,"Female",12,4
"150",20120872,2012,"Male",14,5
"151",19982173,1998,"Male",14,7
"152",19961731,1996,"Male",12,6
"153",19881280,1988,"Female",17,6
"154",19931321,1993,"Female",12,9
"155",19942006,1994,"Female",18,9
"156",19821160,1982,"Female",8,7
"157",19960444,1996,"Female",11,5
"158",19761125,1976,"Female",12,6
"159",19870965,1987,"Female",8,5
"160",19840362,1984,"Female",12,4
"161",19871194,1987,"Male",12,5
"162",20140305,2014,"Female",16,5
"163",19930994,1993,"Female",13,6
"164",20080942,2008,"Male",12,6
"165",20121587,2012,"Female",20,8
"166",19910941,1991,"Female",12,8
"167",19760509,1976,"Female",12,6
"168",19890117,1989,"Male",13,4
"169",20060747,2006,"Female",2,8
"170",19890227,1989,"Female",20,9
"171",20000310,2000,"Female",18,10
"172",20101762,2010,"Female",10,4
"173",20120453,2012,"Male",16,9
"174",19901248,1990,"Female",14,5
"175",19900736,1990,"Male",14,6
"176",20140303,2014,"Female",16,9
"177",20001193,2000,"Male",12,9
"178",20062383,2006,"Female",14,5
"179",19981516,1998,"Female",14,7
"180",20140674,2014,"Male",9,7
"181",19872011,1987,"Female",12,6
"182",19821500,1982,"Female",11,5
"183",20121823,2012,"Female",12,10
"184",19942119,1994,"Male",16,5
"185",20121403,2012,"Male",10,4
"186",19821426,1982,"Male",14,8
"187",20064031,2006,"Female",9,8
"188",20060774,2006,"Female",13,4
"189",20142514,2014,"Female",12,6
"190",19961257,1996,"Female",12,6
"191",20042538,2004,"Male",12,4
"192",19901121,1990,"Male",12,4
"193",19780165,1978,"Female",12,9
"194",20141759,2014,"Female",15,7
"195",19871131,1987,"Male",9,1
"196",19980529,1998,"Female",18,10
"197",19780461,1978,"Female",12,3
"198",20101729,2010,"Male",12,8
"199",19880729,1988,"Female",11,1
"200",20081031,2008,"Male",16,3
"201",19870614,1987,"Female",12,5
"202",19840543,1984,"Male",8,8
"203",19942778,1994,"Female",10,6
"204",19870661,1987,"Female",12,6
"205",20162637,2016,"Female",14,8
"206",19942861,1994,"Female",18,8
"207",19961954,1996,"Male",14,7
"208",19781048,1978,"Female",12,7
"209",19870264,1987,"Male",13,6
"210",20060043,2006,"Male",15,3
"211",20160742,2016,"Female",13,3
"212",19780141,1978,"Female",9,4
"213",20064451,2006,"Female",16,8
"214",20160127,2016,"Female",12,6
"215",20100747,2010,"Female",18,8
"216",19880232,1988,"Female",12,5
"217",20001470,2000,"Male",16,6
"218",20160358,2016,"Male",16,9
"219",20160374,2016,"Female",18,6
"220",19890312,1989,"Female",12,7
"221",19870452,1987,"Male",19,8
"222",19820656,1982,"Female",8,5
"223",19880932,1988,"Male",13,5
"224",19942403,1994,"Female",16,10
"225",20141561,2014,"Male",12,6
"226",19942442,1994,"Male",16,6
"227",19870300,1987,"Male",12,5
"228",19741438,1974,"Female",12,6
"229",19911122,1991,"Male",18,10
"230",20120276,2012,"Male",14,5
"231",19890634,1989,"Female",11,7
"232",19781118,1978,"Male",12,8
"233",19900405,1990,"Male",12,7
"234",20000294,2000,"Female",14,4
"235",19901145,1990,"Male",20,10
"236",20041130,2004,"Female",12,7
"237",20041117,2004,"Male",14,6
"238",19961563,1996,"Male",13,6
"239",19930147,1993,"Male",20,5
"240",19931241,1993,"Female",12,5
"241",19880129,1988,"Female",16,10
"242",19962657,1996,"Female",8,6
"243",20140922,2014,"Female",13,6
"244",19781461,1978,"Male",12,6
"245",19910978,1991,"Female",11,3
"246",19840287,1984,"Female",16,8
"247",19930102,1993,"Male",15,7
"248",19781154,1978,"Male",18,9
"249",19931584,1993,"Male",12,3
"250",20142402,2014,"Female",11,5
"251",20064265,2006,"Male",16,5
"252",20141929,2014,"Female",17,5
"253",19940505,1994,"Female",10,5
"254",19981301,1998,"Female",10,7
"255",19941190,1994,"Female",12,7
"256",19780404,1978,"Female",11,6
"257",19841449,1984,"Female",11,7
"258",19941827,1994,"Female",9,4
"259",19900307,1990,"Female",18,8
"260",20142012,2014,"Female",14,5
"261",19960084,1996,"Female",12,7
"262",19880649,1988,"Female",12,7
"263",19870941,1987,"Female",20,9
"264",20081194,2008,"Male",16,10
"265",20041852,2004,"Male",10,4
"266",19820636,1982,"Female",14,7
"267",19760524,1976,"Female",16,6
"268",20063437,2006,"Male",16,8
"269",19982373,1998,"Male",13,5
"270",19820779,1982,"Male",12,2
"271",19760448,1976,"Female",12,10
"272",19780410,1978,"Male",10,5
"273",19900735,1990,"Male",12,7
"274",19820769,1982,"Male",11,5
"275",19872154,1987,"Male",17,6
"276",19822004,1982,"Male",12,5
"277",19870271,1987,"Female",16,7
"278",19821149,1982,"Female",12,6
"279",19940804,1994,"Female",13,6
"280",20080312,2008,"Female",13,4
"281",19740854,1974,"Female",10,6
"282",19960228,1996,"Male",16,8
"283",20121422,2012,"Female",17,4
"284",19900302,1990,"Female",12,7
"285",19741480,1974,"Male",9,4
"286",19781334,1978,"Male",12,5
"287",19880861,1988,"Female",10,5
"288",19820318,1982,"Male",16,8
"289",19781135,1978,"Female",8,3
"290",19840605,1984,"Female",12,5
"291",19840772,1984,"Female",12,2
"292",19781108,1978,"Male",15,4
"293",20161569,2016,"Male",20,7
"294",19881121,1988,"Female",12,7
"295",19942202,1994,"Male",11,6
"296",20040537,2004,"Male",9,4
"297",19780103,1978,"Male",12,7
"298",19780718,1978,"Male",12,4
"299",19760073,1976,"Female",12,5
"300",20141705,2014,"Male",11,6
"301",20040103,2004,"Female",16,7
"302",19761725,1976,"Female",12,6
"303",19941500,1994,"Female",15,8
"304",19940007,1994,"Female",9,5
"305",19900400,1990,"Female",11,7
"306",20161998,2016,"Female",17,10
"307",19820989,1982,"Male",12,7
"308",20100402,2010,"Female",14,6
"309",19760646,1976,"Female",12,5
"310",19910247,1991,"Male",10,5
"311",19781408,1978,"Male",12,5
"312",19822032,1982,"Female",9,5
"313",20101630,2010,"Female",19,7
"314",20042802,2004,"Female",14,7
"315",19870575,1987,"Female",12,5
"316",19941602,1994,"Female",6,9
"317",19761362,1976,"Male",12,1
"318",19890907,1989,"Female",15,6
"319",20160939,2016,"Female",18,7
"320",19982580,1998,"Male",16,10
"321",20002313,2000,"Female",12,4
"322",19880397,1988,"Female",14,8
"323",19910471,1991,"Male",12,7
"324",20162199,2016,"Male",12,9
"325",20120191,2012,"Male",12,9
"326",20160221,2016,"Female",12,5
"327",20100335,2010,"Female",12,3
"328",20080817,2008,"Male",16,2
"329",19870591,1987,"Female",13,8
"330",20064069,2006,"Female",5,1
"331",20161745,2016,"Male",6,10
"332",19871425,1987,"Male",19,7
"333",19910173,1991,"Male",11,5
"334",20100320,2010,"Male",20,4
"335",19761171,1976,"Male",12,5
"336",19891353,1989,"Male",14,4
"337",19930694,1993,"Female",16,4
"338",19820370,1982,"Female",12,5
"339",19962737,1996,"Male",13,3
"340",20160956,2016,"Male",12,5
"341",20161880,2016,"Male",18,5
"342",19820986,1982,"Male",12,5
"343",19960872,1996,"Male",17,2
"344",19900805,1990,"Male",16,5
"345",20040198,2004,"Male",12,8
"346",19870630,1987,"Female",12,6
"347",19940353,1994,"Female",11,7
"348",19820837,1982,"Female",13,8
"349",19900085,1990,"Male",14,3
"350",20060496,2006,"Female",13,2
"351",19941174,1994,"Male",16,7
"352",19760497,1976,"Female",12,7
"353",20080915,2008,"Male",14,7
"354",19911060,1991,"Female",12,7
"355",20161451,2016,"Male",12,6
"356",19871067,1987,"Female",10,6
"357",20101863,2010,"Female",16,5
"358",19761330,1976,"Female",13,4
"359",20121594,2012,"Female",12,5
"360",19940486,1994,"Female",14,6
"361",20162812,2016,"Female",16,4
"362",19881385,1988,"Female",12,7
"363",20101388,2010,"Female",12,6
"364",19870880,1987,"Female",16,10
"365",19980056,1998,"Male",20,10
"366",20101360,2010,"Female",15,3
"367",19760727,1976,"Female",16,8
"368",20041733,2004,"Female",8,2
"369",20041480,2004,"Male",14,0
"370",19940069,1994,"Female",16,8
"371",19930400,1993,"Male",16,6
"372",19961774,1996,"Male",15,6
"373",20141559,2014,"Male",15,7
"374",19840884,1984,"Female",13,9
"375",19840602,1984,"Female",15,7
"376",19911135,1991,"Male",12,6
"377",19881387,1988,"Male",12,5
"378",20120582,2012,"Male",17,8
"379",19821004,1982,"Female",13,6
"380",19941474,1994,"Male",14,6
"381",19930060,1993,"Female",16,1
"382",19961864,1996,"Male",12,6
"383",20001670,2000,"Male",14,6
"384",20161285,2016,"Male",20,7
"385",19840936,1984,"Female",14,6
"386",19841203,1984,"Female",12,5
"387",20081515,2008,"Female",16,7
"388",20101103,2010,"Female",9,2
"389",19780537,1978,"Male",20,8
"390",20160566,2016,"Female",12,6
"391",19820059,1982,"Male",14,6
"392",19781471,1978,"Male",8,5
"393",20141383,2014,"Female",16,9
"394",19942126,1994,"Female",8,6
"395",19820298,1982,"Male",9,4
"396",19890594,1989,"Male",14,6
"397",20162834,2016,"Male",8,4
"398",19880312,1988,"Female",11,8
"399",19890758,1989,"Female",13,5
"400",19820074,1982,"Male",12,3
"401",20001819,2000,"Female",12,6
"402",19821243,1982,"Male",14,6
"403",20160148,2016,"Male",14,7
"404",20140100,2014,"Male",11,1
"405",20142212,2014,"Male",13,4
"406",20060183,2006,"Male",16,8
"407",19900108,1990,"Female",18,8
"408",20080646,2008,"Female",9,4
"409",19740341,1974,"Female",12,7
"410",20142056,2014,"Female",8,5
"411",20161964,2016,"Female",11,4
"412",19891017,1989,"Male",12,4
"413",20062447,2006,"Male",14,6
"414",20081267,2008,"Male",12,8
"415",20041849,2004,"Female",12,8
"416",19940629,1994,"Male",9,4
"417",19941508,1994,"Male",12,6
"418",19880119,1988,"Female",12,7
"419",20041196,2004,"Male",12,4
"420",20100682,2010,"Male",10,4
"421",19930259,1993,"Male",16,7
"422",19942461,1994,"Female",8,7
"423",20002045,2000,"Female",14,6
"424",19781452,1978,"Female",14,7
"425",19890413,1989,"Female",14,5
"426",19910414,1991,"Female",14,5
"427",19761421,1976,"Male",16,9
"428",20141666,2014,"Male",13,5
"429",20101355,2010,"Male",11,6
"430",20121179,2012,"Male",14,4
"431",20141808,2014,"Male",11,4
"432",19761018,1976,"Male",9,2
"433",19900482,1990,"Female",8,7
"434",19960597,1996,"Male",16,4
"435",19780268,1978,"Female",8,3
"436",20081694,2008,"Female",9,4
"437",20061673,2006,"Female",18,9
"438",19760117,1976,"Female",10,6
"439",19940918,1994,"Female",15,10
"440",20141117,2014,"Male",16,5
"441",19741272,1974,"Female",12,3
"442",19871401,1987,"Female",14,5
"443",19941790,1994,"Male",17,8
"444",19981448,1998,"Male",13,4
"445",19870446,1987,"Female",12,5
"446",19911229,1991,"Female",16,6
"447",19891425,1989,"Male",15,8
"448",20142095,2014,"Female",12,7
"449",19780848,1978,"Female",12,6
"450",19760684,1976,"Female",10,5
"451",20160521,2016,"Male",13,4
"452",19930611,1993,"Male",16,7
"453",19900076,1990,"Female",14,8
"454",19820765,1982,"Male",12,9
"455",19760181,1976,"Male",12,6
"456",20001675,2000,"Female",12,5
"457",19962444,1996,"Male",20,8
"458",20161578,2016,"Male",9,6
"459",19981045,1998,"Female",12,6
"460",19760526,1976,"Female",18,10
"461",19820515,1982,"Female",12,6
"462",19940572,1994,"Female",12,8
"463",19740059,1974,"Female",9,4
"464",19930549,1993,"Female",13,7
"465",20162654,2016,"Male",14,3
"466",20141877,2014,"Female",12,9
"467",20042385,2004,"Male",12,5
"468",19820543,1982,"Female",14,7
"469",19940601,1994,"Male",16,6
"470",20040850,2004,"Male",14,5
"471",19931456,1993,"Female",14,2
"472",20160073,2016,"Male",11,5
"473",20042190,2004,"Female",9,7
"474",19901347,1990,"Female",14,7
"475",19780660,1978,"Female",12,3
"476",19841159,1984,"Female",12,6
"477",20120397,2012,"Male",18,9
"478",19930278,1993,"Female",14,10
"479",19941609,1994,"Male",14,8
"480",20040928,2004,"Male",16,7
"481",20063455,2006,"Male",8,8
"482",19820303,1982,"Male",12,10
"483",20101767,2010,"Male",15,6
"484",20142241,2014,"Male",12,2
"485",19962897,1996,"Male",16,8
"486",19941822,1994,"Male",12,2
"487",19821382,1982,"Female",12,8
"488",19740056,1974,"Male",14,3
"489",20121019,2012,"Female",10,8
"490",19781164,1978,"Female",11,3
"491",19740694,1974,"Female",8,3
"492",20141874,2014,"Female",18,4
"493",19871353,1987,"Female",12,6
"494",19820577,1982,"Female",10,6
"495",19910060,1991,"Female",12,6
"496",19931380,1993,"Male",12,6
"497",19930180,1993,"Female",13,7
"498",19942505,1994,"Female",13,5
"499",20101616,2010,"Female",12,7
"500",19760211,1976,"Female",12,6
"501",19961295,1996,"Female",12,4
"502",20040682,2004,"Male",14,8
"503",20001629,2000,"Female",12,5
"504",20001943,2000,"Female",12,9
"505",19940380,1994,"Male",13,6
"506",20160680,2016,"Male",16,8
"507",19910198,1991,"Female",16,10
"508",20101743,2010,"Female",17,7
"509",20063057,2006,"Female",12,5
"510",20162662,2016,"Female",10,4
"511",20120836,2012,"Female",13,6
"512",19940117,1994,"Male",8,6
"513",19740247,1974,"Male",17,10
"514",20060346,2006,"Male",17,8
"515",20042362,2004,"Female",14,6
"516",19821298,1982,"Female",16,7
"517",20000843,2000,"Female",14,6
"518",19960716,1996,"Male",12,6
"519",19881393,1988,"Female",14,4
"520",20000315,2000,"Male",13,7
"521",20100838,2010,"Female",14,9
"522",20041881,2004,"Female",19,9
"523",19890542,1989,"Female",10,4
"524",19780978,1978,"Female",12,8
"525",19900878,1990,"Female",8,2
"526",20141331,2014,"Male",12,3
"527",20081708,2008,"Female",11,7
"528",20063202,2006,"Male",13,8
"529",20160087,2016,"Female",16,8
"530",20161793,2016,"Male",12,6
"531",19981117,1998,"Female",9,5
"532",19740898,1974,"Female",16,9
"533",19881445,1988,"Female",11,5
"534",19870855,1987,"Female",9,3
"535",19780637,1978,"Female",12,9
"536",19741322,1974,"Male",9,4
"537",19900019,1990,"Female",8,6
"538",19881459,1988,"Female",14,6
"539",19820860,1982,"Female",14,10
"540",19982110,1998,"Male",12,7
"541",19901338,1990,"Female",12,10
"542",20142541,2014,"Male",14,8
"543",20001260,2000,"Female",2,3
"544",19881073,1988,"Female",12,6
"545",19823004,1982,"Female",11,4
"546",19780573,1978,"Female",15,7
"547",20161862,2016,"Female",16,6
"548",19900437,1990,"Female",12,6
"549",19961616,1996,"Male",16,4
"550",20060724,2006,"Female",13,9
"551",20120623,2012,"Female",14,7
"552",19962092,1996,"Female",16,7
"553",19740336,1974,"Female",6,3
"554",20140283,2014,"Male",19,9
"555",20064353,2006,"Female",16,8
"556",19900595,1990,"Male",12,3
"557",19761676,1976,"Male",12,7
"558",19760035,1976,"Female",14,7
"559",20100439,2010,"Male",13,5
"560",20100801,2010,"Male",16,8
"561",20001330,2000,"Male",12,4
"562",19781115,1978,"Male",12,5
"563",19890216,1989,"Male",12,5
"564",20060580,2006,"Female",14,7
"565",20140311,2014,"Female",15,6
"566",20041066,2004,"Female",16,5
"567",19841181,1984,"Female",12,6
"568",20000677,2000,"Female",10,7
"569",19870939,1987,"Male",16,6
"570",20160048,2016,"Male",16,10
"571",19820384,1982,"Female",11,5
"572",19910922,1991,"Male",14,7
"573",19870027,1987,"Female",6,3
"574",19761684,1976,"Female",12,5
"575",20100711,2010,"Female",12,7
"576",19942874,1994,"Female",14,7
"577",20002138,2000,"Male",17,10
"578",19910433,1991,"Male",16,8
"579",20162215,2016,"Male",12,3
"580",20061075,2006,"Female",7,8
"581",19890496,1989,"Female",12,5
"582",20142196,2014,"Male",13,7
"583",20000804,2000,"Male",12,5
"584",19741078,1974,"Female",12,3
"585",19980398,1998,"Female",12,1
"586",19910771,1991,"Female",8,3
"587",19761142,1976,"Male",12,6
"588",19960004,1996,"Female",6,5
"589",20160240,2016,"Male",12,3
"590",20041781,2004,"Female",16,6
"591",19961185,1996,"Female",18,8
"592",19841217,1984,"Male",11,4
"593",20080258,2008,"Male",16,5
"594",20001112,2000,"Female",15,6
"595",20100798,2010,"Male",16,9
"596",20000891,2000,"Female",12,5
"597",19940684,1994,"Female",18,5
"598",19941395,1994,"Female",13,7
"599",19900436,1990,"Male",12,6
"600",19930883,1993,"Female",15,5
"601",20100087,2010,"Female",16,6
"602",20141253,2014,"Female",16,6
"603",19820028,1982,"Female",15,7
"604",20062227,2006,"Female",10,9
"605",20160807,2016,"Male",16,9
"606",20160773,2016,"Female",13,6
"607",19890588,1989,"Male",9,4
"608",19901101,1990,"Male",16,9
"609",20142247,2014,"Male",16,8
"610",19780297,1978,"Female",5,3
"611",20141515,2014,"Female",12,7
"612",19890390,1989,"Female",8,10
"613",19960223,1996,"Female",18,9
"614",19960492,1996,"Male",13,3
"615",20042116,2004,"Female",8,2
"616",19910301,1991,"Male",12,5
"617",19820201,1982,"Male",8,5
"618",19890103,1989,"Male",4,0
"619",19982302,1998,"Male",12,8
"620",19760272,1976,"Male",12,7
"621",20101697,2010,"Female",16,7
"622",19840253,1984,"Female",12,8
"623",19960513,1996,"Male",12,6
"624",19781220,1978,"Male",12,7
"625",19880852,1988,"Male",12,6
"626",19981956,1998,"Female",12,7
"627",19870135,1987,"Male",8,5
"628",19982811,1998,"Male",12,3
"629",19940939,1994,"Male",15,10
"630",20141632,2014,"Female",13,7
"631",20101940,2010,"Male",17,6
"632",19891531,1989,"Female",14,3
"633",19880311,1988,"Female",16,6
"634",20100677,2010,"Female",13,7
"635",19930923,1993,"Male",12,9
"636",19880399,1988,"Female",14,9
"637",19780029,1978,"Female",12,4
"638",19760511,1976,"Female",14,6
"639",20040544,2004,"Female",12,6
"640",20002058,2000,"Male",18,6
"641",20140073,2014,"Female",16,7
"642",19872133,1987,"Male",16,7
"643",20141372,2014,"Female",13,7
"644",19823152,1982,"Female",12,5
"645",20080926,2008,"Female",16,7
"646",19840626,1984,"Male",12,4
"647",19740938,1974,"Female",12,10
"648",20120076,2012,"Male",12,5
"649",20040301,2004,"Female",16,6
"650",20141784,2014,"Female",12,8
"651",20002568,2000,"Female",16,6
"652",20101286,2010,"Female",16,5
"653",19891093,1989,"Male",15,7
"654",20162848,2016,"Female",14,5
"655",19961780,1996,"Female",12,5
"656",19761699,1976,"Female",12,4
"657",19821483,1982,"Female",7,2
"658",19962724,1996,"Female",12,4
"659",20062248,2006,"Male",12,9
"660",20120320,2012,"Female",12,5
"661",19900016,1990,"Female",12,2
"662",20081229,2008,"Male",16,6
"663",19760301,1976,"Female",8,10
"664",19982042,1998,"Female",9,3
"665",19890837,1989,"Male",13,7
"666",19962711,1996,"Male",12,6
"667",20140473,2014,"Female",14,5
"668",19823056,1982,"Female",6,4
"669",19891416,1989,"Female",8,1
"670",20002251,2000,"Female",9,5
"671",20063783,2006,"Female",18,10
"672",19942625,1994,"Female",14,5
"673",20100609,2010,"Male",8,9
"674",19942877,1994,"Female",12,6
"675",19941637,1994,"Female",11,7
"676",19910929,1991,"Female",13,4
"677",19891098,1989,"Male",16,9
"678",19780809,1978,"Female",12,7
"679",19871459,1987,"Female",12,9
"680",19870776,1987,"Female",6,1
"681",20063979,2006,"Female",12,3
"682",20080131,2008,"Female",16,2
"683",19781434,1978,"Female",12,5
"684",19942289,1994,"Female",12,8
"685",19980318,1998,"Male",18,6
"686",19941835,1994,"Female",16,7
"687",19900687,1990,"Female",13,5
"688",19911207,1991,"Female",16,10
"689",19740356,1974,"Male",7,7
"690",20140706,2014,"Male",7,1
"691",19761213,1976,"Female",8,5
"692",19941893,1994,"Male",14,5
"693",20100243,2010,"Female",16,6
"694",19980383,1998,"Male",13,4
"695",19911109,1991,"Female",15,7
"696",19961361,1996,"Male",19,9
"697",20080670,2008,"Female",0,3
"698",19820644,1982,"Male",12,4
"699",20160429,2016,"Male",10,6
"700",19940282,1994,"Female",16,4
"701",20141162,2014,"Male",14,5
"702",20121776,2012,"Male",11,6
"703",20062108,2006,"Female",16,8
"704",20002533,2000,"Female",11,5
"705",20000728,2000,"Male",11,4
"706",19761021,1976,"Male",11,4
"707",19911073,1991,"Female",13,9
"708",19960031,1996,"Female",20,10
"709",20141730,2014,"Male",12,5
"710",20041813,2004,"Female",12,6
"711",20042553,2004,"Male",12,6
"712",19940111,1994,"Male",14,9
"713",19780709,1978,"Male",12,6
"714",20080367,2008,"Male",12,4
"715",19930220,1993,"Female",13,9
"716",19911440,1991,"Female",17,10
"717",19740831,1974,"Male",16,10
"718",19781514,1978,"Female",13,10
"719",19911018,1991,"Female",13,7
"720",20063550,2006,"Female",14,8
"721",19740145,1974,"Female",12,4
"722",19980687,1998,"Female",14,5
"723",20121967,2012,"Female",9,6
"724",20041448,2004,"Female",12,5
"725",19870320,1987,"Male",12,5
"726",20101543,2010,"Male",10,4
"727",19881207,1988,"Female",16,7
"728",19962219,1996,"Female",16,7
"729",19911493,1991,"Male",6,5
"730",19760086,1976,"Male",12,6
"731",20042792,2004,"Female",12,5
"732",19960827,1996,"Female",13,1
"733",20062072,2006,"Female",17,6
"734",19760060,1976,"Female",12,3
"735",20041945,2004,"Female",12,4
"736",19871427,1987,"Male",16,3
"737",19870974,1987,"Male",14,6
"738",20100607,2010,"Female",16,10
"739",19761427,1976,"Male",15,3
"740",19741294,1974,"Female",13,9
"741",19890437,1989,"Female",9,3
"742",19960546,1996,"Male",14,8
"743",19981038,1998,"Male",12,6
"744",19870583,1987,"Female",13,9
"745",19823239,1982,"Female",15,4
"746",19900429,1990,"Male",12,5
"747",19940202,1994,"Male",12,6
"748",20100837,2010,"Male",16,5
"749",19780741,1978,"Female",11,4
"750",20002413,2000,"Female",12,7
"751",19941350,1994,"Female",12,7
"752",20121767,2012,"Male",14,5
"753",19960947,1996,"Male",16,8
"754",19780955,1978,"Female",16,9
"755",19930366,1993,"Male",12,7
"756",19821409,1982,"Male",8,3
"757",19930047,1993,"Male",18,9
"758",19840615,1984,"Female",12,8
"759",20142483,2014,"Female",18,6
"760",19930666,1993,"Female",12,7
"761",20064430,2006,"Male",18,8
"762",19820346,1982,"Male",11,7
"763",20120140,2012,"Male",16,5
"764",19840017,1984,"Female",6,3
"765",19820955,1982,"Female",16,6
"766",19820548,1982,"Female",11,6
"767",19961581,1996,"Male",13,5
"768",20042624,2004,"Female",12,6
"769",20120571,2012,"Female",19,9
"770",20041492,2004,"Female",12,8
"771",19940436,1994,"Male",12,6
"772",20100149,2010,"Male",9,6
"773",19740501,1974,"Male",9,5
"774",20161501,2016,"Female",18,7
"775",19982616,1998,"Male",12,4
